rank,°¡¼ö
28,2167
29,851
30,751
31,775
32,1146
33,704
34,573
35,751
36,632
37,428
38,2095
39,751
40,1011
41,465
42,1635
43,1713
44,2023
45,1899
46,744
47,1669
48,1640
49,911
1,65
2,1904
3,830
4,2018
5,988
6,830
7,2176
8,1011
9,712
10,1637
11,863
12,544
13,1343
14,1176
15,1126
16,2053
17,1130
18,830
19,830
20,2095
21,1234
22,1669
23,1003
24,1159
25,830
26,2167
27,830
28,1319
29,272
30,1933
31,22
32,864
33,1028
34,830
35,830
36,1255
37,1485
38,1899
39,1126
40,1364
41,1130
42,830
43,332
44,465
45,1612
46,830
47,1529
48,1300
49,1343
50,1749
1,364
2,1191
3,830
4,65
5,1904
6,2018
7,364
8,272
9,1011
10,712
11,1637
12,830
13,2167
14,988
15,863
16,102
17,2176
18,1343
19,1265
20,2053
21,1126
22,364
23,1191
24,2095
25,1130
26,830
27,364
28,830
29,544
30,364
31,1933
32,1443
33,1028
34,1234
35,465
36,1414
37,1669
38,1385
39,272
40,1191
41,1191
42,1363
43,830
44,272
45,1364
46,1759
47,2025
48,582
49,830
50,1191
1,364
2,584
3,1191
4,364
5,830
6,1904
7,2018
8,65
9,1787
10,1340
11,2167
12,1011
13,712
14,1414
15,272
16,1699
17,1637
18,830
19,863
20,102
21,1443
22,1126
23,1343
24,1791
25,988
26,364
27,2053
28,2095
29,1130
31,1933
32,2176
33,830
34,1028
35,1265
36,364
37,1759
38,816
39,364
40,465
41,2025
42,1364
43,830
44,1370
45,1234
46,1191
47,1393
48,22
49,584
50,830
1,1787
2,37
3,1340
4,364
5,87
6,1191
7,353
8,1028
9,830
10,1904
11,584
12,2167
13,364
14,2018
15,428
16,65
17,1414
18,87
19,1011
20,712
21,1637
22,272
23,1393
24,830
25,1699
26,863
27,1343
28,1126
29,1130
30,1330
31,731
32,1933
33,1791
34,2053
35,1208
37,1364
38,364
39,102
40,2095
41,1028
42,830
43,988
44,1443
45,2025
46,145
47,465
48,353
49,1234
50,364
1,87
2,1787
3,369
4,1340
5,364
6,293
7,2043
8,37
9,1191
10,428
11,428
12,369
13,1028
14,87
15,353
16,582
17,830
18,369
19,1340
20,369
21,2167
22,369
23,1904
24,1414
25,364
26,2018
27,1011
28,65
29,584
30,1393
31,712
32,731
33,1637
34,1146
35,272
36,1330
37,1340
38,830
39,428
41,863
42,428
43,1340
44,428
45,428
46,145
47,1130
48,428
49,428
50,428
1,87
2,1787
3,1340
4,364
5,2043
6,428
7,37
8,1028
9,369
10,2223
11,293
12,1191
13,1340
14,353
15,87
16,582
17,830
18,2062
19,428
20,2167
21,1414
22,823
23,1393
24,1011
25,2018
26,1904
27,1340
28,65
29,1340
30,369
31,731
32,364
33,712
34,369
35,272
36,1637
37,830
38,1265
39,369
40,729
41,584
43,1146
44,1330
45,141
46,369
47,145
48,428
49,109
50,428
1,1126
2,87
3,195
4,1787
5,617
6,1340
7,2223
8,364
9,428
10,37
11,1028
12,2043
13,823
14,1904
15,1340
16,2062
17,353
18,293
19,1191
20,369
21,1130
22,87
23,195
24,830
25,1847
26,2167
27,1414
28,582
29,428
31,1393
32,1011
33,195
34,1340
35,2018
36,731
37,729
38,195
39,364
40,195
41,1799
42,195
44,195
45,1904
46,1265
47,1554
48,65
49,456
50,819
1,617
2,87
3,1126
4,195
5,1908
6,1904
7,1787
8,1340
9,2223
10,364
11,215
12,823
13,1028
14,428
15,1340
16,1130
17,37
18,269
19,2043
20,353
21,1191
22,293
23,2062
24,87
25,1402
26,830
27,1393
28,456
29,195
30,1414
31,2167
32,141
33,369
34,1238
35,731
36,195
37,428
38,1011
39,729
40,582
42,1340
43,1851
44,195
45,1554
46,1860
47,2018
48,1847
50,1413
1,1908
2,2223
3,655
4,617
5,87
6,2095
7,195
8,1126
9,1904
10,2223
11,1787
12,582
13,1340
14,364
15,2077
16,823
17,269
18,2095
19,215
20,655
21,1028
22,1340
23,428
24,1130
25,1402
26,37
27,2095
28,353
29,691
30,293
31,1508
32,87
33,2043
34,2095
35,353
36,1393
37,2095
38,655
39,704
40,2062
41,2063
42,1554
43,830
44,195
45,456
47,731
48,655
49,655
50,2167
1,1126
2,2095
3,1621
4,1908
5,655
6,617
7,2223
8,87
9,380
10,1126
11,195
12,2095
13,1248
14,380
15,2077
16,1904
17,269
18,2223
19,1340
20,1787
21,364
22,823
23,614
24,1340
25,2095
26,1028
27,1412
28,582
29,911
30,428
31,1182
32,1598
33,655
34,215
35,37
36,353
37,1554
38,1402
39,2095
40,1130
41,1774
42,704
43,1887
44,2095
45,2063
46,1207
47,1393
48,293
50,1172
1,1126
2,1248
3,1621
4,381
5,2223
6,1908
7,655
8,617
9,2095
10,2223
11,380
12,87
13,614
14,1787
15,1622
16,195
17,1126
18,269
19,911
20,380
21,1340
22,823
23,2223
24,1904
25,364
26,1248
27,1248
28,1363
29,1254
30,1340
31,869
32,2223
33,1248
34,2095
35,1028
36,1330
37,2077
38,37
39,1296
40,428
41,1554
42,1179
43,1974
44,353
45,36
46,925
47,719
48,1622
49,381
50,1172
1,1126
2,1248
3,1254
4,1126
5,1621
6,2095
7,1622
8,2223
9,381
10,2095
11,2018
12,2223
13,1908
14,617
15,655
16,87
17,1248
18,614
19,1126
20,380
21,269
22,195
23,1248
24,1787
25,1248
26,911
27,1340
28,727
29,917
30,823
31,2223
32,1974
33,364
34,380
35,369
36,1904
37,1340
38,2095
39,1989
40,1172
41,869
42,1554
43,719
44,1974
45,37
46,2077
47,1622
49,1986
50,428
1,2223
2,2095
3,1248
4,1126
5,1126
6,1974
7,1126
8,1621
9,1254
10,1343
11,2223
12,1989
13,369
14,1622
15,617
16,1908
17,2095
18,1065
19,2223
20,2018
21,381
22,655
23,614
24,87
25,1248
26,269
27,1126
28,1547
29,911
30,1248
31,1248
32,195
33,380
34,823
35,2223
36,1787
37,1340
38,369
39,364
40,347
41,1904
42,1986
43,1374
44,727
45,1016
46,364
47,731
48,1340
49,1554
50,1467
1,1536
2,1126
3,1343
4,2194
5,2095
6,1126
7,2223
8,2077
9,1126
10,1248
11,1126
12,2223
13,1547
14,1065
15,1621
16,2077
17,1374
18,190
19,293
20,1622
21,1974
22,1670
23,617
24,1908
25,1254
26,1254
27,2223
28,614
29,2077
30,2095
31,1126
32,1507
33,1989
34,87
35,911
36,1234
37,269
38,825
39,655
40,2077
41,369
42,2018
43,364
44,265
45,2077
46,195
47,823
48,2077
49,381
50,2077
1,1744
2,1536
3,1126
4,1343
5,190
6,1126
7,2095
8,2223
9,293
10,2194
11,1126
12,1248
13,2077
14,1238
15,1126
