NaN,가수,작사,작곡,편곡
11,miss A,박진영,박진영,박진영
12,존 박,존 박,Andy Platts,NaN
13,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
14,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
15,가인,윤사라,윤일상,NaN
16,신화,이민우,Andrew Jackson,Andrew Jackson
17,SHINee ,종현 ,Niara Arain Scarlett,Niara Arain Scarlett
18,이하이,채은정,신재홍,고영환
19,박효신,김세진,김세진,김두현
20,린,김박사,김박사,김박사
21,이승철,홍진영,홍진영,홍진영
22,케이윌,김이나,김도훈,김도훈
23,SHINee ,곽소영,심은지,유한진
24,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
25,SHINee ,종현 ,Brandon Fraley,Brandon Fraley
26,SHINee ,조윤경,Rufio Sandilands,Rufio Sandilands
27,SHINee ,김정배,Kenzie,Kenzie
28,SHINee ,조윤경,Thomas Troelsen,Thomas Eriksen
29,2AM,박선주,박선주,런치송 프로젝트
30,양요섭,김이나,김건우,NaN
31,이하이,NaN,Michael Jackson,고영환
32,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
33,보아 ,팔로알토 ,Marty James,NaN
34,Jason Mraz,NaN,NaN,NaN
35,지연,개미,개미,CSMUSIC&
36,2AM,권순일,박용인,권순일
37,B1A4,진영,진영,진영
38,2AM,윤종신,윤종신,Miss Kay
39,Maroon 5,NaN,NaN,NaN
40,소지섭,NaN,NaN,NaN
41,신화,에릭,Eddie Galan,Eddie Galan
42,BIGBANG,G-DRAGON,G-DRAGON,P.K
43,다비치,전해성,전해성,전해성
44,2AM,이창민,이창민,Miss Kay
45,박지민,정석원,정석원,고영환
46,윤현상,윤현상,윤현상,와사비사운드
47,김수현,이규태,이주원,권성민
48,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
49,살찐 고양이,시진,NaN,NaN
50,엠블랙,이단옆차기,이단옆차기,이단옆차기
1,버스커 버스커,장범준,장범준,장범준
2,버스커 버스커,장범준,장범준,장범준
3,박지민,NaN,NaN,NaN
4,버스커 버스커,장범준,장범준,장범준
5,CNBLUE,한성호,김도훈,김도훈
6,태연 ,박종미,박해운,박해운
7,2AM,방시혁,김도훈,김도훈
8,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
9,버스커 버스커,장범준,장범준,장범준
10,버스커 버스커,장범준,장범준,장범준
11,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
12,신화,이민우,Andrew Jackson,Andrew Jackson
13,버스커 버스커,장범준,장범준,장범준
14,버스커 버스커,장범준,장범준,장범준
15,BIGBANG,TEDDY,TEDDY,TEDDY
16,버스커 버스커,장범준,장범준,장범준
17,버스커 버스커,장범준,김지수,NaN
18,에일리,휘성,이기,NaN
19,수펄스,NaN,NaN,NaN
20,버스커 버스커,장범준,장범준,NaN
21,김수현,김창락,김창락,김창락
22,버스커 버스커,장범준,장범준,장범준
23,CNBLUE,정용화,정용화,김재양
24,린,윤민수,윤민수,KingMing
25,가인,윤사라,윤일상,NaN
26,박효신,김세진,김세진,김두현
27,존 박,존 박,Andy Platts,NaN
28,miss A,박진영,박진영,박진영
29,백지영,박정욱,NaN,NaN
30,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
31,이하이,채은정,신재홍,고영환
32,2AM,휘성,최용찬,이상호
33,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
34,장나라,김희원,김희원,김희원
35,린,김박사,김박사,김박사
36,이하이,NaN,NaN,NaN
37,이승철,홍진영,홍진영,홍진영
38,박지민,NaN,NaN,NaN
39,이하이,NaN,NaN,NaN
40,케이윌,김이나,김도훈,김도훈
41,전람회,김동률,김동률,NaN
42,신화,에릭,Eddie Galan,Eddie Galan
43,Jason Mraz,NaN,NaN,NaN
44,윤현상,윤현상,윤현상,와사비사운드
45,나윤권,심재희,김형석,ZigZagNote
46,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
47,Maroon 5,NaN,NaN,NaN
48,이하이,NaN,Michael Jackson,고영환
49,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
1,버스커 버스커,장범준,장범준,장범준
2,버스커 버스커,장범준,장범준,장범준
3,버스커 버스커,장범준,장범준,장범준
4,버스커 버스커,장범준,장범준,장범준
5,버스커 버스커,장범준,장범준,장범준
6,버스커 버스커,장범준,장범준,장범준
7,버스커 버스커,장범준,장범준,장범준
8,버스커 버스커,장범준,장범준,장범준
9,버스커 버스커,장범준,김지수,NaN
10,허각,NaN,NaN,NaN
11,버스커 버스커,장범준,장범준,NaN
12,버스커 버스커,장범준,장범준,장범준
13,태연 ,박종미,박해운,박해운
14,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
15,2AM,방시혁,김도훈,김도훈
16,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
17,BIGBANG,TEDDY,TEDDY,TEDDY
18,CNBLUE,한성호,김도훈,김도훈
19,에일리,휘성,이기,NaN
20,수펄스,NaN,NaN,NaN
21,양파,강은경,조영수,조영수
22,박지민,NaN,NaN,NaN
23,신화,이민우,Andrew Jackson,Andrew Jackson
24,김수현,김창락,김창락,김창락
25,이승훈,최자,최자,NaN
26,존 박,존 박,Andy Platts,NaN
27,어반 자카파,NaN,NaN,NaN
28,린,윤민수,윤민수,KingMing
29,요조,허승경,김광진,요조
30,miss A,박진영,박진영,박진영
31,바비 킴,타블로,PK,PK
32,백지영,박정욱,NaN,NaN
33,"Simon Dominic, 레이디 제인",Simon Dominic,김건우,NaN
34,이승철,홍진영,홍진영,홍진영
35,박지민,Berry Gordy,Hal Davis,NaN
36,CNBLUE,정용화,정용화,김재양
37,전람회,김동률,김동률,NaN
