181,35,존 박,김이나,김형석,윤우석
182,36,미료,,,
183,,,,,
184,38,10cm,이승호,윤일상,
185,39,존 박,김동률,김동률,김동률
186,40,먼데이 키즈,한상원,한상원,한상원
187,41,가비엔제이(Gavy nj),민명기,민명기,이석주
188,42,이영현,이현규,유해준,KingMing
189,43,효린,김창기,김창기,SWEETCH
190,44,블락비(Block B),지코(ZICO),지코(ZICO),델리보이(Delly Boi)
191,45,휘성,휘성(Realslow),휘성(Realslow),문하
192,46,Pixie Lott,Phil Thornalley,,
193,47,Adele,,,
194,48,이기찬,,,
195,49,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
196,1,BIGBANG,TEDDY,TEDDY,TEDDY
197,2,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
198,3,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
199,4,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
0,5,에일리,휘성(Realslow),이기,
1,6,miss A,박진영,박진영,박진영
2,7,존 박,존 박,Andy Platts,
3,8,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
4,9,린(LYn),김박사,김박사,김박사
5,10,BIGBANG,G-DRAGON,G-DRAGON,P.K
6,11,이승철,홍진영,홍진영,홍진영
7,12,케이윌(K.will),김이나,김도훈(RBW),김도훈(RBW)
8,13,린(LYn),린,황성제,황성제
9,14,다비치,전해성,전해성,전해성
10,15,이기찬,민연재,더 네임(The Name),
11,16,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
12,17,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
13,18,SE7EN,,,
14,19,정진운,박진영,박진영,심은지
15,20,FTISLAND,한성호,김도훈(RBW),이상호
16,21,김범수,윤일상,최은하,
17,22,Jason Mraz,,,
18,23,존 박,김동률,김동률,김동률
19,24,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
20,25,효린,개미,개미,
21,26,스피카(SPICA),송수윤,한재호,한재호
22,27,아이유(IU),김이나,이민수,이민수
23,28,miss A,홍지상,홍지상,홍지상
24,29,나윤권,김세진,김세진,
25,30,써니힐(Sunny Hill),김이나,이민수,이민수
26,31,송혜교,민재영,김성훈,김성훈
27,32,장재인,장재인,강현민,
28,33,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
29,34,Pixie Lott,Phil Thornalley,,
30,35,효린,김창기,김창기,SWEETCH
31,36,10cm,이승호,윤일상,
32,37,존 박,김동률,김동률,김동률
33,38,양동근,,,
34,39,존 박,김이나,김형석,윤우석
35,40,B1A4,,,
36,41,디셈버(December),,,
37,42,다비치,k-Smith,조영수,조영수
38,43,정엽,Honeydew'o,Honeydew'o,Honeydew'o
39,,,,,
40,45,Adele,,,
41,46,이영현,이현규,유해준,KingMing
42,47,미료,,,
43,48,서영은,,,
44,49,박완규,김태원,김태원,서재혁
45,50,프라이머리(Primary),다이나믹 듀오,프라이머리,프라이머리
46,1,2AM,방시혁,김도훈(RBW),김도훈(RBW)
47,2,김수현,김창락,김창락,김창락
48,3,2AM,휘성(Realslow),최용찬,이상호
49,4,BIGBANG,TEDDY,TEDDY,TEDDY
50,5,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
51,6,에일리,휘성(Realslow),이기,
52,7,2AM,박선주(Pak Sun Zoo),박선주(Pak Sun Zoo),런치송 프로젝트
53,8,2AM,권순일,박용인(어반자카파),권순일
54,9,miss A,박진영,박진영,박진영
55,10,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
56,11,존 박,존 박,Andy Platts,
57,12,2AM,윤종신,윤종신,Miss Kay
58,13,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
59,14,2AM,이창민,이창민,Miss Kay
60,15,린(LYn),김박사,김박사,김박사
61,16,이승철,홍진영,홍진영,홍진영
62,17,CNBLUE(씨엔블루),정용화,정용화,김재양
63,18,케이윌(K.will),김이나,김도훈(RBW),김도훈(RBW)
64,19,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
65,20,양요섭,김이나,김건우,
66,21,BIGBANG,G-DRAGON,G-DRAGON,P.K
67,22,김태우,신형,,
68,23,살찐 고양이,시진,,
69,24,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
70,25,다비치,전해성,전해성,전해성
71,26,이기찬,민연재,더 네임(The Name),
72,27,린(LYn),윤민수(바이브),윤민수(바이브),KingMing
73,28,엘(L),,,
74,29,송혜교,민재영,김성훈,김성훈
75,30,FTISLAND,한성호,김도훈(RBW),이상호
76,31,B1A4,진영(B1A4),진영(B1A4),진영(B1A4)
77,32,SE7EN,,,
78,33,지연,박진영,박진영,심은지
79,34,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
80,35,디셈버(December),,,
81,36,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
82,37,아이유(IU),김이나,이민수,이민수
83,38,정진운,박진영,박진영,심은지
84,39,린(LYn),린,황성제,황성제
85,40,먼데이키즈(Monday Kiz),유희열,유희열,멜로딘 준영
86,41,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
87,42,Jason Mraz,,,
88,43,Jason Mraz,,,
89,44,스피카(SPICA),송수윤,한재호,한재호
90,45,Pixie Lott,Phil Thornalley,,
91,46,Maroon 5,,,
92,47,김범수,윤일상,최은하,
93,48,정엽,,,
94,49,존 박,김동률,김동률,김동률
95,50,소지섭,김건우,김건우,김건우
96,1,SHINee (샤이니),조윤경,Thomas Troelsen,Thomas Troelsen
97,2,2AM,방시혁,김도훈(RBW),김도훈(RBW)
98,3,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
99,4,BIGBANG,TEDDY,TEDDY,TEDDY
100,5,김수현,김창락,김창락,김창락
101,6,CNBLUE(씨엔블루),정용화,정용화,김재양
102,7,에일리,휘성(Realslow),이기,
103,8,린(LYn),윤민수(바이브),윤민수(바이브),KingMing
104,9,버스커 버스커,장범준,장범준,장범준
105,10,2AM,휘성(Realslow),최용찬,이상호
